"state","county","precinct_id","year","reg_voters","turnout","dem_votes","rep_votes","median_income","pct_bachelor","race_black","race_hispanic"
"VA","n","P46598",2012,861,550,307,292,57124,32.2,43.9,63.9
"AR","p","P12712",2012,845,566,325,280,61388,40.4,58.8,35.7
"MI","d","P06218",2020,862,647,311,278,59184,13.8,9.2,40.9
"TN","f","P29599",2012,844,608,323,281,67788,69.6,13.7,47
"GA","v","P28980",2024,852,614,295,277,62538,48,5.5,33.6
"MS","k","P20340",2020,829,614,296,249,59383,78.1,9.1,40.9
"OK","t","P43124",2012,909,594,329,286,53024,77.9,48.9,11.7
"ME","e","P25319",2020,907,578,310,331,49428,11.5,6.7,79.5
"AR","n","P21013",2024,890,568,295,336,48175,56.5,45.6,58.3
"CT","w","P39617",2016,818,603,297,304,52147,32.2,48.5,51.9
"MN","p","P33293",2024,805,604,293,254,66991,48.2,22.2,53.6
"FL","g","P47285",2024,871,611,317,252,53188,39.3,8,72.4
"MN","j","P09809",2020,830,559,305,296,64507,44.9,52.2,42.2
"AR","v","P48664",2020,879,625,318,252,49900,76.2,32.8,51.7
"NE","p","P48136",2024,880,613,292,291,66703,21.8,27.2,11.3
"NC","u","P34383",2020,849,592,309,261,46726,17.3,14.8,48.3
"GA","t","P30103",2012,827,603,310,266,63817,27.1,29.7,4.9
"MN","o","P06684",2024,827,592,299,261,61968,66.5,52.7,63
"NM","c","P17160",2020,822,605,315,265,52376,42.1,7.2,67.5
"SD","n","P35727",2012,816,608,322,272,53634,53.9,13.8,55.7
"ND","h","P13185",2016,822,584,298,245,45219,37.3,60.4,59.4
"RI","f","P43668",2012,847,638,297,278,47669,15.5,39.4,15.6
"NH","f","P46572",2020,849,659,287,281,46339,54.7,52.8,59
"MD","s","P22102",2020,808,646,310,265,51673,65.4,53.1,1.8
"MI","h","P18011",2020,829,593,331,311,67728,49,11,71.7
"OR","s","P14443",2020,899,580,321,276,52681,76,40.7,5.9
"AR","v","P39506",2024,823,610,277,270,61339,60.5,44.4,35.5
"NY","t","P33262",2012,821,573,306,257,42391,18.4,59.8,43.3
"OR","v","P35691",2020,877,629,316,270,44735,56.1,15.1,78.1
"IN","d","P29976",2012,882,581,299,272,56447,51.8,62.6,39.4
"MN","r","P41034",2012,839,655,302,305,58500,59.1,52.6,26.3
"VA","x","P45649",2012,856,599,282,262,53005,49,66,46
"ND","x","P12601",2024,909,610,284,270,50968,64.7,16.3,79.8
"OR","y","P32709",2012,868,588,315,271,80415,69.9,12.4,0.1
"CT","t","P43925",2024,918,591,315,266,51542,65,22.8,39.7
"AZ","q","P33407",2012,855,601,294,312,56032,12.2,10.8,31
"OK","i","P02845",2012,866,608,301,305,67553,77.4,38,25.9
"VA","e","P41587",2020,871,591,308,267,55709,48.1,39.4,50.7
"AL","o","P48364",2012,861,626,296,280,56100,53.8,59.3,49.4
"UT","d","P47782",2016,872,632,322,244,73008,60.3,41.9,2.8
"NM","g","P01972",2012,876,567,292,278,56406,47.7,37.2,24
"MN","r","P43757",2024,867,596,321,284,53158,79.1,57,27.8
"MS","v","P41702",2020,863,610,299,277,58372,68.1,54.8,74.3
"IA","g","P41708",2016,823,551,302,319,61651,22,46.7,50.7
"NY","f","P33094",2012,800,609,298,284,59145,18.9,62.1,30.6
"CA","d","P21051",2020,872,603,281,277,47925,80,11.2,63.6
"NE","k","P48790",2016,903,593,308,287,69013,65.5,25.6,62.2
"FL","p","P48894",2012,856,619,274,270,49008,26.9,32.9,23.5
"OK","g","P04831",2024,834,574,271,251,63280,39.9,61.5,72.7
"WA","f","P01326",2016,861,601,287,296,54601,18.4,17.6,79.5
"SC","t","P00445",2016,873,565,287,261,63522,54.7,14.8,52.3
"GA","g","P17503",2012,871,621,315,293,54047,70.1,49,69.8
"UT","t","P23038",2012,881,566,328,279,68875,17.6,43.3,21.4
"HI","d","P31089",2016,838,596,285,287,48784,20.4,24.6,68.4
"HI","b","P05452",2016,845,566,271,257,59556,71,9.8,30.2
"AR","h","P37280",2020,838,606,307,283,57953,78,69.7,31.2
"CO","h","P48648",2020,853,581,299,277,62003,63.7,63.4,69.2
"NH","b","P48981",2012,801,646,316,253,58060,68.9,7,26
"OH","k","P27894",2016,895,623,281,292,54150,65.6,24.3,40.3
"IN","e","P18990",2016,852,582,329,264,60640,16.3,4,76.9
"NM","o","P41077",2016,897,592,283,301,44946,30.6,31.6,3.6
"DE","z","P01697",2012,807,601,323,290,74011,46.9,46.4,63.1
"FL","f","P45090",2024,816,578,284,265,67663,63.3,3.6,40.2
"NH","t","P22827",2024,907,634,319,248,56651,49.1,44.1,74.4
"NY","w","P46648",2020,825,613,299,272,56179,14.8,27.8,76.5
"LA","e","P15027",2020,868,615,323,314,59672,27.1,31.4,65.5
"OH","o","P33210",2024,860,570,321,265,57456,43.7,28.9,37.6
"NH","y","P10706",2012,857,656,314,286,49554,59.3,35.4,54.1
"MO","z","P12595",2020,864,581,311,292,45656,46.7,47.2,50.9
"MS","t","P22185",2024,859,570,292,267,36701,77.2,0.2,1.7
"OR","c","P03672",2012,827,602,316,305,60680,79,56.3,54.8
"NY","a","P30187",2020,868,618,303,275,62720,69.6,2.2,65.1
"IL","s","P05646",2016,819,584,291,289,56032,18.8,45.7,59.5
"ND","q","P49714",2016,815,582,277,270,59784,66.4,61.8,75.9
"UT","o","P28418",2016,772,627,302,283,58040,44.7,36.9,0.6
"SD","j","P18348",2020,818,584,274,261,48387,49,41.5,76.9
"NC","j","P02062",2024,841,583,305,301,57979,42.1,63.7,73.7
"ME","q","P24961",2020,806,575,307,301,78070,62.2,5.3,1.8
"KS","z","P24343",2016,829,587,301,291,52065,66.6,31,49.4
"WV","i","P34997",2020,844,585,273,314,56891,71.6,2.8,29.3
"VT","z","P37076",2012,856,571,336,276,47147,70.4,11.5,43.6
"TN","n","P38869",2012,865,568,303,300,58396,71.8,52.3,13.9
"CT","k","P30213",2012,838,633,336,289,51207,52.2,5.9,30
"KY","c","P05557",2012,828,581,309,293,48959,50.2,10.9,22.8
"LA","l","P44032",2012,844,615,301,282,53054,49.3,19.3,41.3
"CT","g","P44473",2016,863,655,271,251,56322,57.5,29.4,32.5
"NE","e","P20041",2012,871,591,275,316,68187,79.1,48.1,36.6
"ID","r","P34742",2016,841,630,301,305,50722,16.5,62.7,45.3
"NV","j","P19351",2024,854,615,296,279,56871,35,46.2,59.9
"CA","t","P13530",2020,830,607,301,293,48027,58.4,6.1,8.8
"MS","j","P43672",2020,862,648,332,251,56700,15.7,68.6,5.1
"AL","z","P47537",2020,856,621,277,278,45118,42.7,47.9,71.1
"ME","x","P12707",2020,823,598,288,290,39024,38.8,68.3,66.1
"GA","b","P07793",2024,844,575,296,291,56935,10.9,54.5,4.8
"ME","q","P15146",2016,839,595,303,259,55288,20.4,62.4,2.4
"ND","k","P45346",2016,877,625,304,299,59579,67.1,6.9,23.5
"FL","q","P13839",2012,841,605,322,244,57831,19.7,7.5,16
"GA","k","P36895",2024,836,616,278,277,72292,55.6,61.1,71.2
"CA","p","P05744",2012,850,651,317,285,64091,19,57.6,49.6
"MD","n","P16504",2016,871,601,326,250,44704,61.2,20.6,25.4
"MS","d","P22796",2012,840,664,324,259,61952,44.1,26.8,38.9
"NC","r","P48918",2016,827,557,327,312,48767,32.5,48.4,57.2
"TX","n","P21518",2020,856,596,285,269,62061,62.5,53.5,60.8
"NY","t","P40913",2024,805,554,281,282,48926,51.6,9.6,36.7
"PA","e","P04516",2024,835,607,319,306,67771,17.3,1.1,52.4
"CT","d","P10328",2016,879,597,324,281,58158,24.8,64.5,34.7
"LA","s","P07241",2020,867,616,310,308,55619,45.2,45.3,12.6
"TN","l","P17031",2024,872,590,264,276,47833,17.2,24.1,58.3
"CO","r","P46153",2016,803,603,313,295,60298,28.7,48.4,24
"ME","q","P44264",2020,847,606,290,288,65354,28.5,62.5,60.5
"AZ","m","P06730",2024,819,592,308,268,50836,21.6,37.3,28.9
"CO","w","P08623",2020,899,589,335,296,66851,25.6,55.1,37.9
"LA","y","P39598",2012,833,572,308,265,60515,21,20.2,7.3
"SC","l","P26940",2020,833,648,279,278,65638,63.6,39.4,59.3
"OK","e","P47774",2024,841,614,310,290,65216,46.3,59.4,0.8
"MO","j","P32388",2012,907,620,276,311,65839,76.2,42.8,34.7
"KY","f","P29982",2024,873,602,284,263,64204,35.2,7.9,50.6
"TN","u","P29882",2016,828,628,279,308,53406,48,4.3,3.3
"NV","k","P00553",2024,884,552,311,290,48083,36.2,32.5,3.7
"LA","d","P37052",2016,843,589,340,272,66639,72.7,62.9,71.8
"FL","w","P21844",2016,865,592,320,265,63588,59.5,63.2,57
"HI","u","P37855",2016,912,606,267,273,62247,46.1,50.2,46.4
"ID","i","P16560",2024,875,625,288,293,58733,71.3,55.5,66
"IA","f","P09903",2024,848,640,274,281,52080,44.1,50.1,24
"OH","u","P40499",2016,816,605,294,275,53363,71.7,34.6,40.3
"ME","o","P20066",2020,876,580,318,270,47446,76.2,47.8,41.3
"VA","u","P39545",2020,849,628,308,277,57940,54.2,2.7,50
"ME","b","P09050",2020,847,603,282,263,63301,69.9,0.9,12.1
"VA","v","P34817",2012,847,567,262,277,65161,66.4,17.8,75.1
"UT","q","P12823",2020,874,553,291,293,35310,15.1,2.5,70.7
"AZ","k","P40026",2020,808,634,288,262,49367,23,28.8,78.7
"IN","y","P21024",2012,829,573,307,263,59133,36.4,53.5,22.6
"IN","z","P30865",2012,826,618,303,274,59957,45.8,31.9,55
"CA","k","P42959",2020,808,587,332,281,50473,54.4,37,25.4
"TX","k","P12152",2012,874,600,307,269,58139,26.6,13.9,40.2
"PA","w","P00243",2024,848,619,293,277,50955,74.2,13.1,76.6
"OK","w","P04443",2020,836,590,286,269,50840,50.2,69.1,37.2
"NE","s","P37439",2016,849,600,302,288,56698,68.2,23.3,27.7
"NY","f","P19568",2024,838,610,339,294,60169,15.9,38.2,11.4
"IL","w","P10490",2012,821,569,279,276,63844,42.1,13.5,66.9
"VT","t","P25467",2016,832,577,316,301,48717,13,7.7,48.4
"DE","g","P29949",2012,792,589,325,264,49947,52.7,1.2,35.6
"RI","i","P26693",2016,866,606,314,282,57828,20,15.4,46.7
"KY","o","P35106",2020,872,581,313,303,59727,56.6,49.6,17
"MO","n","P11456",2020,823,547,300,267,55279,11.2,35.2,1.5
"AK","k","P47194",2012,895,598,313,278,51594,40.2,46.9,31.5
"MO","q","P40254",2024,841,599,303,282,64223,68,57.1,60.3
"MT","i","P36339",2012,820,628,303,278,72434,74.3,9.5,26
"MD","q","P22188",2016,852,576,290,248,60796,36.6,24.7,67.7
"RI","o","P22965",2012,835,622,277,285,56888,47.9,53.5,25.7
"RI","h","P30405",2012,826,606,291,273,60788,41,6.7,21.5
"AL","k","P29799",2016,890,616,305,304,52855,39.5,59.1,74.7
"LA","c","P43795",2024,838,616,298,271,52131,16.9,17.2,77.6
"MO","g","P18277",2024,879,608,321,262,71692,60.1,8.7,13.2
"KS","f","P43175",2024,844,577,294,283,41662,11.5,41.7,11.8
"AL","k","P11417",2012,804,588,317,262,54269,34.2,44.6,55.7
"MA","d","P00580",2024,841,569,317,289,41035,72.9,21.4,49.3
"FL","k","P16414",2024,814,582,315,283,60580,51.7,13.7,6.8
"OK","m","P33795",2016,830,600,271,277,52615,26.9,35.3,20.9
"NH","z","P42234",2024,824,617,278,255,55854,62.9,64.5,71.1
"MA","q","P40095",2024,801,630,295,275,51948,71.6,11.6,53.7
"IL","n","P02388",2012,880,621,300,272,69271,62.4,19.1,16.5
"MS","j","P46390",2012,863,617,316,295,59195,26.6,32.7,56.5
"MT","v","P02916",2016,785,607,307,292,51306,60.8,61,30.5
"ID","a","P38575",2020,820,622,272,288,64056,34,10.6,34.5
"ME","l","P36590",2024,837,580,272,267,50620,38.8,14.7,30.1
"CO","p","P47770",2020,893,604,300,305,70560,52.2,59.2,24.3
"DE","o","P49047",2012,901,577,302,279,60398,17.5,2.9,40.4
"SC","j","P07292",2016,864,629,289,301,78198,62.6,35.3,41.1
"MD","c","P00551",2016,846,586,303,261,53486,56.9,54.7,45.6
"AK","l","P46415",2016,841,579,323,287,50298,31.5,58.1,70.8
"CA","m","P29462",2024,851,594,300,322,59562,59.1,14.2,45.9
"CT","i","P24070",2024,840,566,298,247,45605,64.6,36.4,59.1
"CO","m","P22360",2012,849,637,299,283,53037,65.1,3.1,40.1
"MS","k","P32986",2012,831,608,306,301,56749,58,18.5,66.9
"MD","d","P14354",2020,916,575,305,296,59450,40.1,65.8,63.8
"TN","n","P25907",2024,832,570,293,266,69329,14.7,65.4,40.4
"NJ","l","P28466",2024,806,637,297,270,69560,10.1,65.6,36.5
"OH","u","P25968",2016,866,615,310,257,56598,16.2,67.2,57.1
"GA","m","P42026",2016,819,640,285,267,47529,62.4,60.5,3.7
"MI","u","P42603",2024,834,544,301,303,61259,38.2,35.6,66.7
"MI","d","P47111",2016,849,567,284,255,48356,10.7,20.2,71.2
"RI","y","P42609",2024,829,554,313,269,58934,12.8,28.4,19.9
"NJ","g","P36137",2020,827,638,293,279,39878,39.7,14.8,17.7
"TN","q","P18951",2012,833,607,293,263,44343,23,56.8,69.2
"AK","c","P08279",2024,865,581,292,285,58028,39.1,8.6,28.3
"VT","s","P49558",2012,869,635,310,300,57673,65.6,5.5,50.3
"ID","v","P02172",2016,819,574,314,260,60985,38.5,1.8,73.1
"AK","v","P49139",2024,823,598,291,251,58384,54.4,12.5,70.5
"TN","j","P45932",2012,886,581,300,270,49132,12.4,51.8,55.2
"TN","m","P01484",2024,884,578,318,284,43544,36.6,5.6,67.3
"FL","d","P30814",2016,860,619,301,295,39621,44.4,48.7,45.1
"ID","l","P27686",2024,841,605,282,273,41426,56,17.1,35.3
"FL","o","P34886",2012,857,598,298,298,52084,77.1,69.6,19.3
"CO","i","P02584",2012,828,602,282,253,44468,79,18.6,22.2
"NE","r","P21282",2020,853,594,332,260,63146,68.9,11.1,62.1
"MN","y","P10645",2012,864,627,255,295,66507,23.1,10.7,30.6
"TN","l","P21325",2020,879,639,328,280,70429,73.1,35.8,20.6
"PA","z","P38442",2016,855,571,285,277,61688,41.1,44.5,11.2
"UT","a","P11198",2016,896,617,286,263,63271,33.5,15.3,22.8
"DE","x","P44428",2020,863,647,298,287,48754,49.7,11.8,11.8
"TX","g","P16771",2020,858,609,313,279,80468,21.1,47.6,11.6
"VA","e","P34396",2020,825,577,294,262,58192,43.2,29.3,69.3
"MS","h","P32669",2020,838,617,294,243,71420,56.6,26,16.9
"NH","g","P47411",2020,855,592,310,293,51827,49,10.8,52.1
"RI","a","P37338",2024,850,592,291,313,62709,26.5,27.4,0.5
"ME","f","P03115",2020,836,551,320,264,62286,78,53.5,0.5
"MO","d","P34636",2020,823,608,288,297,74104,11.4,62.2,7.7
"IL","q","P18127",2020,863,607,309,288,65447,57.4,7.7,28.9
"TN","h","P18683",2012,838,592,306,274,64609,17,4,46.8
"ID","h","P32304",2024,819,646,306,256,50925,38.5,29.4,68.1
"ND","o","P20744",2020,874,607,356,278,46284,21,69.5,16.2
"SC","g","P25098",2020,858,626,299,240,62124,27.7,26.9,4.1
"ME","w","P40038",2012,823,568,294,266,57590,36.5,36.7,1.1
"CO","p","P20426",2024,858,617,300,278,58885,30.2,54.9,13.7
"TX","v","P05968",2024,831,573,320,283,49784,58.4,43.7,48.7
"NJ","c","P13334",2024,809,580,306,275,59831,55.4,25.5,23.1
"IL","d","P04456",2016,853,576,299,283,65134,69.7,26.2,76.5
"SD","g","P35315",2016,892,576,312,257,39412,49.1,13.5,62.8
"MI","s","P32217",2024,868,573,285,303,47776,57.6,5.2,51.5
"AR","p","P42051",2012,857,649,272,290,56492,27.8,2.6,52.2
"LA","f","P38227",2012,881,583,289,274,55346,29.9,15.1,65.4
"FL","y","P49473",2012,778,602,294,279,61443,31.8,32.1,14.5
"WA","v","P20098",2024,874,631,303,281,55814,66.9,55.6,52.5
"MS","b","P41089",2020,866,629,294,313,53104,59.8,29.6,40.3
"NE","n","P19396",2024,919,607,317,274,50955,32.8,7.7,8.9
"NV","e","P17217",2024,823,635,322,297,49735,17.4,0.3,22.2
"ID","j","P26253",2012,868,584,316,286,76107,46.6,55.8,30.7
"MS","h","P27116",2020,875,647,300,301,55641,70.3,5.2,57.7
"HI","x","P36772",2020,837,609,311,296,58162,50.7,2.2,21.6
"WV","k","P13659",2016,810,617,288,266,61081,29.4,44.8,31.7
"MA","e","P35580",2024,891,606,278,298,56715,32.4,18.7,61.6
"WA","e","P42259",2016,816,588,293,252,60721,71,23.7,10.9
"ME","z","P44433",2012,831,625,314,295,40673,77.6,55.2,28.2
"OK","h","P34969",2012,869,601,323,285,58476,65.3,36,12.5
"CO","g","P46786",2020,835,590,294,257,52849,43.5,46.2,53.1
"MN","u","P31925",2020,871,584,317,286,54356,22.4,56.5,64.6
"NJ","i","P29513",2024,814,566,276,257,50455,48.7,3.3,13.3
"VA","u","P06366",2024,821,560,274,252,58363,68.8,15.6,24.4
"PA","f","P24009",2024,858,636,309,257,46940,27.6,53.5,76.4
"AZ","s","P37959",2016,840,586,315,248,49833,11.1,66.1,11.1
"MO","v","P47935",2020,887,610,311,261,41336,70.8,26.2,64.9
"NE","c","P15952",2016,864,600,286,285,31497,46.9,56.9,28.8
"AR","s","P21755",2020,853,588,272,283,37285,67.4,46.6,53.4
"MN","z","P21632",2016,889,578,324,299,49619,77.6,60.5,56.3
"AR","c","P37449",2016,867,646,310,299,45663,69,60.5,11
"ND","z","P29247",2012,885,630,303,290,47294,22.8,47.9,5.5
"IN","i","P43864",2016,852,666,276,286,50103,79.8,33.3,51.7
"IA","x","P20112",2020,800,602,315,263,60923,28.4,37,23.9
"KY","c","P20938",2016,849,566,295,275,63810,32.2,20.8,52
"LA","j","P10805",2020,861,557,286,311,64416,31.8,22.4,78.3
"MI","g","P09220",2016,819,556,315,283,56141,25.2,31.3,11.5
"AZ","b","P12495",2024,835,574,278,291,74649,41.8,20.8,79.5
"MI","x","P19804",2020,816,576,306,286,42367,73,64.8,55.5
"MT","s","P02494",2016,857,595,306,295,66375,35.9,46.9,53.6
"AK","u","P01367",2020,837,579,263,264,56040,25.1,27.1,5.2
"LA","q","P20756",2012,861,567,271,288,71887,25.8,40.3,46.9
"NH","g","P49774",2020,847,607,297,287,60554,46.1,46.5,74.7
"GA","w","P00457",2024,817,647,299,276,50418,46.6,59.7,25.2
"MT","o","P47332",2024,843,596,297,249,39529,25.6,16.6,10.1
"KS","p","P25529",2016,835,578,305,282,58071,65.9,32.1,58.2
"UT","g","P10416",2012,848,616,305,273,51456,41.3,33.1,51.5
"SD","v","P43811",2024,859,645,291,284,46692,61.5,22.3,45.6
"AK","p","P24051",2012,849,686,298,292,59983,47.8,10.3,27.1
"MD","s","P00995",2016,836,661,309,292,64464,43.8,31.8,69.5
"AR","x","P23928",2024,876,619,292,289,77119,23.4,44.2,60.5
"OR","m","P14406",2012,870,623,280,312,57834,66.6,64.4,41.4
"MO","r","P18267",2012,802,580,285,292,59118,68.9,43.2,5.1
"MI","i","P08337",2020,909,582,276,296,36556,51,33.8,30
"IA","c","P31331",2016,859,593,287,293,56640,29.9,66.1,48.6
"SD","k","P34912",2020,844,582,298,271,43292,63.8,55,31.6
"AL","l","P20560",2024,854,588,322,274,44998,67.5,53.1,52.5
"MS","j","P37288",2016,882,627,299,270,42816,19.3,61.7,51.6
"IA","m","P00428",2016,827,539,324,289,49965,57.5,15.2,41.4
"DE","r","P41861",2024,863,602,282,266,64683,15.2,27.6,31.8
"AZ","n","P14804",2020,848,574,308,288,68161,42.8,36.4,39.1
"OK","i","P48581",2012,833,629,283,275,62155,41.8,18.1,23.5
"MI","e","P47107",2012,836,591,306,273,52682,28.8,36.4,19.2
"MT","q","P04670",2012,794,596,298,298,55885,41.5,34.7,59.3
"KY","u","P44756",2012,842,601,319,319,65429,76.9,58.9,65.4
"KY","i","P16037",2012,856,610,336,293,58801,44.6,46.1,30.6
"MN","n","P41968",2016,885,595,315,274,54827,52.3,37.3,8.8
"VA","t","P42821",2016,833,636,289,301,54650,51.5,30.5,34.7
"AL","w","P40606",2016,853,598,295,275,50424,31.7,54.9,63.2
"NC","u","P18024",2016,840,611,273,296,52506,54.8,61.6,79.7
"SC","t","P19084",2024,837,565,288,278,56707,61.9,0.8,21.6
"IA","e","P45528",2024,860,605,309,241,43869,31.9,34.4,22.8
"MA","f","P00553",2012,876,577,284,272,57884,23.4,4,29.9
"AZ","r","P12060",2012,794,659,291,271,58808,25.7,20.8,69.3
"TN","s","P02034",2024,856,634,307,278,59603,40.9,31.4,75.8
"KS","n","P08360",2016,866,603,285,298,48292,28.1,24.5,2.9
"MN","e","P41489",2024,854,583,306,275,64217,40.4,4.9,1.1
"NV","e","P47027",2012,846,613,306,289,49687,30.9,2,12.2
"NM","r","P16777",2012,830,603,275,277,56373,64,26.1,14.7
"CA","j","P13782",2012,791,588,305,260,62419,42.4,0.6,53.3
"MT","q","P49014",2020,825,552,311,309,40559,50,5.2,5.1
"PA","s","P06732",2024,864,574,315,298,57823,62.4,52.2,41.2
"NC","l","P39386",2020,831,578,297,294,46938,50.4,47.8,10.6
"ME","q","P31946",2020,877,546,291,255,51976,35.2,6.9,64.8
"IN","m","P15418",2020,843,618,300,273,50055,15.1,47.5,14.5
"LA","j","P03205",2012,886,568,299,279,36124,42,58.3,64.6
"SD","a","P21431",2016,815,593,296,275,52774,63.9,57,54.8
"OK","u","P14982",2020,861,606,293,274,70501,79.6,8.6,37.7
"MO","o","P39024",2016,868,599,315,309,49735,26.1,33.6,18.6
"UT","e","P05686",2012,820,593,323,301,62470,67.6,14.2,69.2
"MS","l","P10234",2020,840,585,282,277,57581,65.5,55.9,49.5
"MO","h","P14874",2020,893,624,307,259,46141,23.7,2.7,61.8
"RI","j","P42251",2016,815,617,311,270,38449,44,61.5,20.6
"GA","e","P17851",2024,871,586,251,277,67157,78.6,62.1,61.9
"KS","o","P47132",2024,829,635,302,281,57374,46,41.9,18.9
"NE","o","P30882",2016,868,578,311,263,50015,25.7,0.9,13.6
"MA","w","P47471",2012,876,638,306,281,43304,63.5,12.7,17
"OK","p","P36943",2020,812,622,309,282,71473,48.7,22.9,21.7
"CO","p","P10929",2024,827,585,277,304,66689,34.9,43.9,47.4
"AR","m","P33666",2020,833,599,318,278,61565,28.7,65.1,57.5
"NE","q","P22379",2020,849,575,297,279,41350,14.4,36.8,43.7
"KY","i","P28578",2020,814,633,272,273,41170,72.4,37.5,3.9
"UT","m","P44792",2024,827,595,313,294,43306,33.6,61.7,44
"OH","x","P31105",2012,900,574,283,299,45816,59.8,64.8,76.5
"MN","l","P21088",2024,837,578,298,280,52474,66.6,15.2,2.9
"OK","j","P04076",2016,906,580,301,285,50930,69,66.7,67.8
"NY","u","P11490",2020,905,566,296,298,40571,63,63.8,31.4
"AK","a","P07182",2016,822,620,333,292,52521,35,42.2,50.3
"MD","o","P01551",2016,838,571,323,260,53786,38.9,30.1,72.5
"TX","l","P28958",2012,826,657,327,298,58738,23.6,48.2,47.2
"AR","r","P17093",2020,856,600,325,260,66305,65.5,60.1,49.6
"CO","s","P06699",2020,850,559,282,291,58068,34.5,27.7,70.1
"MI","y","P00837",2020,817,631,305,276,53166,23.7,58.1,55.3
"NJ","i","P40882",2016,840,585,294,276,43432,69.6,46.3,19.8
"TX","p","P46026",2024,891,603,301,282,57661,55.6,2.1,57.6
"PA","z","P45224",2016,829,578,305,273,68338,62.8,31.6,68.7
"WA","f","P36799",2024,839,606,277,300,34209,73,25.9,40.6
"AZ","l","P36845",2012,829,586,318,262,59382,70.2,48.5,10.6
"KY","j","P32922",2020,804,641,305,265,52294,50.7,37.5,28.6
"NH","p","P19601",2020,839,632,352,278,52804,69,18.4,57.3
"LA","e","P46007",2016,822,610,285,307,31965,60.2,63.8,76.8
"MS","x","P01942",2024,873,619,309,284,45483,22.2,31.1,22.7
"MO","u","P39539",2024,832,576,284,288,63038,21.6,15.9,25.3
"ID","r","P09898",2020,891,654,297,263,53365,74.4,28.4,71.2
"LA","b","P42215",2020,772,635,266,263,55558,66.4,35.8,66.3
"TX","o","P46481",2012,811,621,296,271,59940,29.3,28.1,18.3
"VA","u","P32783",2024,914,587,284,279,50938,56.4,66,61.4
"WA","p","P38556",2020,836,628,285,264,48041,59.6,14.3,43.6
"MO","q","P40648",2020,835,603,288,284,42930,39.7,69.7,0.7
"PA","j","P34798",2016,831,597,290,293,40698,25.3,40.1,74.4
"KS","l","P13813",2020,866,642,291,271,40545,43.6,43.5,54.5
"OH","e","P42417",2020,810,623,283,281,49252,22.7,29.4,45.6
"RI","y","P19271",2016,891,612,278,286,52088,71.7,43.6,38.9
"NV","n","P31833",2024,849,621,288,303,60963,21.7,33.7,41
"NE","h","P15109",2016,864,557,303,302,63569,12.7,27.6,20.7
"HI","t","P20855",2024,899,589,305,283,60861,32.9,53.6,37.8
"VT","a","P11212",2016,872,631,321,258,57227,12.4,9.4,74.7
"CT","o","P13319",2012,908,586,300,283,48387,26.2,3.9,8.2
"NC","g","P14863",2024,810,596,260,285,71891,22.3,29.6,44.2
"DE","o","P24869",2024,858,591,323,305,55420,55.6,53.7,19.4
"MT","i","P20337",2020,846,585,309,270,63158,44.1,41.4,20.1
"ME","j","P27754",2020,818,599,299,258,48007,75.6,52.4,66.4
"UT","r","P43048",2012,820,624,319,278,58884,44.7,62,15.9
"VA","l","P10065",2016,898,578,281,256,46908,53.2,56.9,68
"WV","w","P41517",2012,841,586,301,262,54307,73,39.2,20.9
"SC","j","P43802",2020,823,588,300,282,54519,35,45.7,55.3
"WA","w","P21604",2012,816,604,299,279,51290,74.4,8.3,18.5
"NY","i","P19949",2020,859,595,306,276,64074,57.1,37.5,5.5
"OK","e","P47894",2024,870,577,309,300,47857,69.9,30.8,27.5
"UT","t","P38491",2016,837,587,275,265,55089,56.9,4.2,5.5
"IA","m","P11868",2020,885,574,289,277,65710,15.5,69,73.3
"PA","s","P39398",2024,864,611,321,267,55650,28,12.1,6.2
"AZ","c","P39394",2020,888,617,277,300,66319,35.1,62.7,48.7
"TX","o","P35351",2012,879,557,308,245,41206,74,1.1,11
"UT","z","P34100",2016,844,593,296,280,51273,48.6,12.1,57.4
"WV","y","P45195",2020,809,622,255,273,56171,49.5,25.4,38.9
"OK","t","P24059",2012,845,581,279,312,54729,11.5,7.5,29.1
"MT","z","P33022",2024,790,586,314,280,55380,53.1,59.4,48.3
"MT","g","P30908",2016,872,577,331,291,71360,32.9,63.5,26.6
"DE","f","P22910",2020,845,655,275,297,61969,74.8,11,3.4
"MN","h","P42091",2020,875,575,300,281,50082,29.4,69.2,24.4
"PA","e","P27239",2020,871,555,307,282,35894,68.8,64,26.6
"MI","s","P27543",2020,822,619,319,249,61887,29.9,39.8,59.2
"CA","l","P00420",2024,820,600,339,277,54181,39.6,51.9,3.3
"NH","g","P44024",2016,916,620,296,226,44190,34.2,60.3,11.6
"CA","i","P17805",2012,829,633,331,265,41260,54.9,37,45.6
"PA","m","P42412",2020,854,589,306,260,36581,15.3,30.5,45.6
"GA","u","P13324",2016,836,580,282,256,46337,42.7,25.9,69.3
"NV","n","P42427",2020,813,590,294,257,45590,45.1,57.6,19.1
"IL","h","P22430",2016,833,596,313,251,57543,73.2,26.8,0.6
"SD","v","P49731",2020,834,598,257,266,35082,54.5,45.9,5.1
"AK","h","P04909",2016,844,591,304,274,57947,50.3,33.1,74.1
"OK","c","P35512",2020,865,568,292,272,60598,54.5,46.6,24.8
"WV","z","P28701",2020,837,592,249,276,53836,34.1,36.5,72.3
"MN","v","P48224",2016,867,610,311,296,64689,69.8,64.9,59.7
"ND","f","P16691",2024,879,598,320,280,56292,52.3,68.4,32.3
"DE","f","P01089",2024,860,586,311,238,57540,66.6,60.2,65.1
